County,Median_Household_Income
"Inyo County, California",63417
"Kern County, California",63883
"Kings County, California",68540
"Lake County, California",56259
"Lassen County, California",59515
"Los Angeles County, California",83411
"Madera County, California",73543
"Marin County, California",142019
"Mariposa County, California",60021
"Mendocino County, California",61335
"Merced County, California",64772
"Modoc County, California",54962
"Mono County, California",82038
"Monterey County, California",91043
"Napa County, California",105809
"Nevada County, California",79395
"Orange County, California",109361
"Placer County, California",109375
"Plumas County, California",67885
"Riverside County, California",84505
"Sacramento County, California",84010
"San Benito County, California",104451
"San Bernardino County, California",77423
"San Diego County, California",96974
"San Francisco County, California",136689
"San Joaquin County, California",82837
"San Luis Obispo County, California",90158
"San Mateo County, California",149907
"Santa Barbara County, California",92332
"Santa Clara County, California",153792
"Santa Cruz County, California",104409
"Shasta County, California",68347
"Sierra County, California",61108
"Siskiyou County, California",53898
"Solano County, California",97037
"Sonoma County, California",99266
"Stanislaus County, California",74872
"Sutter County, California",72654
"Tehama County, California",59029
"Trinity County, California",47317
"Tulare County, California",64474
"Tuolumne County, California",70432
"Ventura County, California",102141
"Yolo County, California",85097
"Yuba County, California",66693
"Adams County, Colorado",86297
"Alamosa County, Colorado",52271
"Arapahoe County, Colorado",92292
"Archuleta County, Colorado",66813
"Baca County, Colorado",42115
"Bent County, Colorado",45776
"Boulder County, Colorado",99770
"Broomfield County, Colorado",117541
"Chaffee County, Colorado",65703
"Cheyenne County, Colorado",65577
"Clear Creek County, Colorado",87169
"Conejos County, Colorado",44093
"Costilla County, Colorado",34578
"Crowley County, Colorado",40685
"Custer County, Colorado",66250
"Delta County, Colorado",56349
"Denver County, Colorado",85853
"Dolores County, Colorado",64708
"Douglas County, Colorado",139010
"Eagle County, Colorado",98887
"Elbert County, Colorado",124360
"El Paso County, Colorado",82748
"Fremont County, Colorado",56165
"Garfield County, Colorado",82772
"Gilpin County, Colorado",95902
"Grand County, Colorado",79367
"Gunnison County, Colorado",76538
"Hinsdale County, Colorado",58712
"Huerfano County, Colorado",49631
"Jackson County, Colorado",38686
"Jefferson County, Colorado",103167
"Kiowa County, Colorado",45250
"Kit Carson County, Colorado",58992
"Lake County, Colorado",78942
"La Plata County, Colorado",81936
"Larimer County, Colorado",87199
"Las Animas County, Colorado",48965
"Lincoln County, Colorado",59167
"Logan County, Colorado",54864
"Mesa County, Colorado",68077
"Mineral County, Colorado",58929
"Moffat County, Colorado",63983
"Montezuma County, Colorado",61377
"Montrose County, Colorado",62817
"Morgan County, Colorado",70471
"Otero County, Colorado",47500
"Ouray County, Colorado",78750
"Park County, Colorado",85019
"Phillips County, Colorado",58474
"Pitkin County, Colorado",96123
"Prowers County, Colorado",49422
"Pueblo County, Colorado",59436
"Rio Blanco County, Colorado",69882
"Rio Grande County, Colorado",57591
"Routt County, Colorado",95144
"Saguache County, Colorado",51946
"San Juan County, Colorado",67344
"San Miguel County, Colorado",72829
"Sedgwick County, Colorado",45855
"Summit County, Colorado",100611
"Teller County, Colorado",69655
"Washington County, Colorado",59087
"Weld County, Colorado",89182
"Yuma County, Colorado",60118
"Capitol Planning Region, Connecticut",88190
"Greater Bridgeport Planning Region, Connecticut",83147
"Lower Connecticut River Valley Planning Region, Connecticut",99742
"Naugatuck Valley Planning Region, Connecticut",82939
"Northeastern Connecticut Planning Region, Connecticut",83119
"Northwest Hills Planning Region, Connecticut",87971
"South Central Connecticut Planning Region, Connecticut",83617
"Southeastern Connecticut Planning Region, Connecticut",80330
"Western Connecticut Planning Region, Connecticut",118930
"Kent County, Delaware",69278
"New Castle County, Delaware",85309
"Sussex County, Delaware",75406
"District of Columbia, District of Columbia",101722
"Alachua County, Florida",57566
"Baker County, Florida",67872
"Bay County, Florida",65999
"Bradford County, Florida",54759
"Brevard County, Florida",71308
"Broward County, Florida",70331
"Calhoun County, Florida",41526
"Charlotte County, Florida",62164
"Citrus County, Florida",52569
"Clay County, Florida",82242
"Collier County, Florida",82011
"Columbia County, Florida",53501
"DeSoto County, Florida",45000
"Dixie County, Florida",45057
"Duval County, Florida",65579
"Escambia County, Florida",61642
"Flagler County, Florida",69251
"Franklin County, Florida",58107
"Gadsden County, Florida",45721
"Gilchrist County, Florida",56823
"Glades County, Florida",37221
"Gulf County, Florida",56250
"Hamilton County, Florida",47668
"Hardee County, Florida",44665
"Hendry County, Florida",49259
"Hernando County, Florida",59202
"Highlands County, Florida",53679
"Hillsborough County, Florida",70612
"Holmes County, Florida",46063
"Indian River County, Florida",67543
"Jackson County, Florida",46144
"Jefferson County, Florida",51573
"Lafayette County, Florida",57852
"Lake County, Florida",66239
"Lee County, Florida",69368
"Leon County, Florida",61317
"Levy County, Florida",49933
"Liberty County, Florida",51723
"Madison County, Florida",43386
"Manatee County, Florida",71385
"Marion County, Florida",55265
"Martin County, Florida",77894
"Miami-Dade County, Florida",64215
"Monroe County, Florida",80111
"Nassau County, Florida",84085
"Okaloosa County, Florida",73988
"Okeechobee County, Florida",50476
"Orange County, Florida",72629
"Osceola County, Florida",64312
"Palm Beach County, Florida",76066
"Pasco County, Florida",63187
"Pinellas County, Florida",66406
"Polk County, Florida",60901
"Putnam County, Florida",44852
"St. Johns County, Florida",100020
"St. Lucie County, Florida",66154
"Santa Rosa County, Florida",84715
"Sarasota County, Florida",77213
"Seminole County, Florida",79490
"Sumter County, Florida",70105
"Suwannee County, Florida",49729
"Taylor County, Florida",46239
"Union County, Florida",64043
"Volusia County, Florida",63075
"Wakulla County, Florida",72035
"Walton County, Florida",74832
"Washington County, Florida",47536
"Appling County, Georgia",43268
"Atkinson County, Georgia",38007
"Bacon County, Georgia",43938
"Baker County, Georgia",45417
"Baldwin County, Georgia",54699
"Banks County, Georgia",69096
"Barrow County, Georgia",75053
"Bartow County, Georgia",74812
"Ben Hill County, Georgia",38255
"Berrien County, Georgia",48670
"Bibb County, Georgia",48897
"Bleckley County, Georgia",56021
"Brantley County, Georgia",40166
"Brooks County, Georgia",42263
"Bryan County, Georgia",90627
"Bulloch County, Georgia",53675
"Burke County, Georgia",50321
"Butts County, Georgia",60076
"Calhoun County, Georgia",48663
"Camden County, Georgia",68104
"Candler County, Georgia",45519
"Carroll County, Georgia",66895
"Catoosa County, Georgia",68896
"Charlton County, Georgia",45770
"Chatham County, Georgia",66171
"Chattahoochee County, Georgia",52943
"Chattooga County, Georgia",43556
"Cherokee County, Georgia",100824
"Clarke County, Georgia",48692
"Clay County, Georgia",43264
"Clayton County, Georgia",56207
"Clinch County, Georgia",53350
"Cobb County, Georgia",94244
"Coffee County, Georgia",48398
"Colquitt County, Georgia",47235
"Columbia County, Georgia",92571
"Cook County, Georgia",46706
"Coweta County, Georgia",90031
"Crawford County, Georgia",56948
"Crisp County, Georgia",47463
"Dade County, Georgia",59531
"Dawson County, Georgia",84516
"Decatur County, Georgia",47383
"DeKalb County, Georgia",76044
"Dodge County, Georgia",46091
"Dooly County, Georgia",54109
"Dougherty County, Georgia",45640
"Douglas County, Georgia",76930
"Early County, Georgia",48355
"Echols County, Georgia",61184
"Effingham County, Georgia",79474
"Elbert County, Georgia",48190
"Emanuel County, Georgia",47905
"Evans County, Georgia",55222
"Fannin County, Georgia",54857
"Fayette County, Georgia",105910
"Floyd County, Georgia",57868
"Forsyth County, Georgia",131660
"Franklin County, Georgia",52597
"Fulton County, Georgia",86267
"Gilmer County, Georgia",70334
"Glascock County, Georgia",60469
"Glynn County, Georgia",65970
"Gordon County, Georgia",57555
"Grady County, Georgia",51929
"Greene County, Georgia",77527
"Gwinnett County, Georgia",82296
"Habersham County, Georgia",61292
"Hall County, Georgia",74153
"Hancock County, Georgia",31767
"Haralson County, Georgia",65940
"Harris County, Georgia",85936
"Hart County, Georgia",61765
"Heard County, Georgia",62965
"Henry County, Georgia",79663
"Houston County, Georgia",76968
"Irwin County, Georgia",46383
"Jackson County, Georgia",82056
"Jasper County, Georgia",57374
"Jeff Davis County, Georgia",41780
"Jefferson County, Georgia",46865
"Jenkins County, Georgia",31463
"Johnson County, Georgia",47796
"Jones County, Georgia",66288
"Lamar County, Georgia",64966
"Lanier County, Georgia",39971
"Laurens County, Georgia",46776
"Lee County, Georgia",83632
"Liberty County, Georgia",55149
"Lincoln County, Georgia",50754
"Long County, Georgia",56819
"Lowndes County, Georgia",52821
"Lumpkin County, Georgia",67592
"McDuffie County, Georgia",54752
"McIntosh County, Georgia",51262
"Macon County, Georgia",33960
"Madison County, Georgia",53626
"Marion County, Georgia",48836
"Meriwether County, Georgia",52392
"Miller County, Georgia",52132
"Mitchell County, Georgia",45966
"Monroe County, Georgia",74867
"Montgomery County, Georgia",49138
"Morgan County, Georgia",81524
"Murray County, Georgia",60617
"Muscogee County, Georgia",54561
"Newton County, Georgia",70732
"Oconee County, Georgia",116221
"Oglethorpe County, Georgia",66672
"Paulding County, Georgia",89237
"Peach County, Georgia",60940
"Pickens County, Georgia",72558
"Pierce County, Georgia",54861
"Pike County, Georgia",83866
"Polk County, Georgia",51956
"Pulaski County, Georgia",42545
"Putnam County, Georgia",60825
"Quitman County, Georgia",38889
"Rabun County, Georgia",57261
"Randolph County, Georgia",24638
"Richmond County, Georgia",50605
"Rockdale County, Georgia",68999
"Schley County, Georgia",53274
"Screven County, Georgia",49941
"Seminole County, Georgia",46063
"Spalding County, Georgia",57367
"Stephens County, Georgia",52901
"Stewart County, Georgia",43094
"Sumter County, Georgia",38899
"Talbot County, Georgia",48065
"Taliaferro County, Georgia",45881
"Tattnall County, Georgia",51868
"Taylor County, Georgia",40727
"Telfair County, Georgia",41801
"Terrell County, Georgia",43507
"Thomas County, Georgia",55958
"Tift County, Georgia",52561
"Toombs County, Georgia",47310
"Towns County, Georgia",55574
"Treutlen County, Georgia",38641
"Troup County, Georgia",53599
"Turner County, Georgia",39666
"Twiggs County, Georgia",50446
"Union County, Georgia",59783
"Upson County, Georgia",48740
"Walker County, Georgia",52276
"Walton County, Georgia",79425
"Ware County, Georgia",44138
"Warren County, Georgia",45091
"Washington County, Georgia",43810
"Wayne County, Georgia",49847
"Webster County, Georgia",35000
"Wheeler County, Georgia",36354
"White County, Georgia",66256
"Whitfield County, Georgia",59659
"Wilcox County, Georgia",46759
"Wilkes County, Georgia",51780
"Wilkinson County, Georgia",40757
"Worth County, Georgia",56496
"Hawaii County, Hawaii",74238
"Honolulu County, Hawaii",99816
"Kalawao County, Hawaii",87813
"Kauai County, Hawaii",88869
"Maui County, Hawaii",95379
"Ada County, Idaho",83881
"Adams County, Idaho",55891
"Bannock County, Idaho",60998
"Bear Lake County, Idaho",63244
"Benewah County, Idaho",54191
"Bingham County, Idaho",69433
"Blaine County, Idaho",81794
"Boise County, Idaho",70776
"Bonner County, Idaho",61816
"Bonneville County, Idaho",73103
"Boundary County, Idaho",58810
"Butte County, Idaho",37358
"Camas County, Idaho",63750
"Canyon County, Idaho",68473
"Caribou County, Idaho",65380
"Cassia County, Idaho",63525
"Clark County, Idaho",53500
"Clearwater County, Idaho",55885
"Custer County, Idaho",60357
"Elmore County, Idaho",55000
"Franklin County, Idaho",61679
"Fremont County, Idaho",67015
"Gem County, Idaho",65204
"Gooding County, Idaho",60938
"Idaho County, Idaho",54745
"Jefferson County, Idaho",77491
"Jerome County, Idaho",67347
"Kootenai County, Idaho",71949
"Latah County, Idaho",62258
"Lemhi County, Idaho",49216
"Lewis County, Idaho",46484
"Lincoln County, Idaho",62250
"Madison County, Idaho",53025
"Minidoka County, Idaho",63594
"Nez Perce County, Idaho",65023
"Oneida County, Idaho",67383
"Owyhee County, Idaho",58440
"Payette County, Idaho",62721
"Power County, Idaho",56671
"Shoshone County, Idaho",44807
"Teton County, Idaho",88906
"Twin Falls County, Idaho",61183
"Valley County, Idaho",72878
"Washington County, Idaho",50046
"Adams County, Illinois",63767
"Alexander County, Illinois",40365
"Bond County, Illinois",58617
"Boone County, Illinois",80502
