County,Median_Household_Income
"Gray County, Kansas",74500
"Greeley County, Kansas",69948
"Greenwood County, Kansas",51812
"Hamilton County, Kansas",58750
"Harper County, Kansas",53032
"Harvey County, Kansas",70685
"Haskell County, Kansas",66458
"Hodgeman County, Kansas",63125
"Jackson County, Kansas",70385
"Jefferson County, Kansas",74562
"Jewell County, Kansas",47109
"Johnson County, Kansas",103644
"Kearny County, Kansas",68750
"Kingman County, Kansas",59640
"Kiowa County, Kansas",70347
"Labette County, Kansas",56143
"Lane County, Kansas",52222
"Leavenworth County, Kansas",84307
"Lincoln County, Kansas",52540
"Linn County, Kansas",56697
"Logan County, Kansas",70382
"Lyon County, Kansas",56415
"McPherson County, Kansas",71250
"Marion County, Kansas",60011
"Marshall County, Kansas",64306
"Meade County, Kansas",74063
"Miami County, Kansas",85564
"Mitchell County, Kansas",63008
"Montgomery County, Kansas",51513
"Morris County, Kansas",52866
"Morton County, Kansas",57943
"Nemaha County, Kansas",72788
"Neosho County, Kansas",54894
"Ness County, Kansas",64907
"Norton County, Kansas",52710
"Osage County, Kansas",66155
"Osborne County, Kansas",58750
"Ottawa County, Kansas",74551
"Pawnee County, Kansas",54141
"Phillips County, Kansas",57611
"Pottawatomie County, Kansas",85241
"Pratt County, Kansas",61685
"Rawlins County, Kansas",61827
"Reno County, Kansas",57390
"Republic County, Kansas",54531
"Rice County, Kansas",58523
"Riley County, Kansas",56327
"Rooks County, Kansas",60821
"Rush County, Kansas",53523
"Russell County, Kansas",49929
"Saline County, Kansas",59887
"Scott County, Kansas",53365
"Sedgwick County, Kansas",65372
"Seward County, Kansas",57131
"Shawnee County, Kansas",63463
"Sheridan County, Kansas",66719
"Sherman County, Kansas",61404
"Smith County, Kansas",50943
"Stafford County, Kansas",60000
"Stanton County, Kansas",66000
"Stevens County, Kansas",67950
"Sumner County, Kansas",59397
"Thomas County, Kansas",72417
"Trego County, Kansas",77500
"Wabaunsee County, Kansas",70000
"Wallace County, Kansas",57708
"Washington County, Kansas",59432
"Wichita County, Kansas",69551
"Wilson County, Kansas",55439
"Woodson County, Kansas",50670
"Wyandotte County, Kansas",57771
"Adair County, Kentucky",49690
"Allen County, Kentucky",57159
"Anderson County, Kentucky",69885
"Ballard County, Kentucky",57111
"Barren County, Kentucky",48141
"Bath County, Kentucky",51471
"Bell County, Kentucky",33658
"Boone County, Kentucky",91697
"Bourbon County, Kentucky",54580
"Boyd County, Kentucky",58327
"Boyle County, Kentucky",56568
"Bracken County, Kentucky",59911
"Breathitt County, Kentucky",38209
"Breckinridge County, Kentucky",51756
"Bullitt County, Kentucky",73900
"Butler County, Kentucky",47589
"Caldwell County, Kentucky",52488
"Calloway County, Kentucky",48276
"Campbell County, Kentucky",71979
"Carlisle County, Kentucky",53065
"Carroll County, Kentucky",50625
"Carter County, Kentucky",47004
"Casey County, Kentucky",42190
"Christian County, Kentucky",48920
"Clark County, Kentucky",61878
"Clay County, Kentucky",37888
"Clinton County, Kentucky",41180
"Crittenden County, Kentucky",45810
"Cumberland County, Kentucky",40515
"Daviess County, Kentucky",64021
"Edmonson County, Kentucky",53029
"Elliott County, Kentucky",39469
"Estill County, Kentucky",39980
"Fayette County, Kentucky",66087
"Fleming County, Kentucky",46885
"Floyd County, Kentucky",38723
"Franklin County, Kentucky",62929
"Fulton County, Kentucky",35449
"Gallatin County, Kentucky",58641
"Garrard County, Kentucky",58263
"Grant County, Kentucky",65461
"Graves County, Kentucky",52526
"Grayson County, Kentucky",47024
"Green County, Kentucky",38595
"Greenup County, Kentucky",58562
"Hancock County, Kentucky",68102
"Hardin County, Kentucky",64136
"Harlan County, Kentucky",35128
"Harrison County, Kentucky",58840
"Hart County, Kentucky",45561
"Henderson County, Kentucky",56912
"Henry County, Kentucky",58294
"Hickman County, Kentucky",68589
"Hopkins County, Kentucky",54466
"Jackson County, Kentucky",38516
"Jefferson County, Kentucky",66296
"Jessamine County, Kentucky",69905
"Johnson County, Kentucky",44231
"Kenton County, Kentucky",76016
"Knott County, Kentucky",38336
"Knox County, Kentucky",34254
"Larue County, Kentucky",57867
"Laurel County, Kentucky",53693
"Lawrence County, Kentucky",42488
"Lee County, Kentucky",31682
"Leslie County, Kentucky",37019
"Letcher County, Kentucky",38466
"Lewis County, Kentucky",36662
"Lincoln County, Kentucky",49487
"Livingston County, Kentucky",56125
"Logan County, Kentucky",58869
"Lyon County, Kentucky",64081
"McCracken County, Kentucky",58490
"McCreary County, Kentucky",35000
"McLean County, Kentucky",64020
"Madison County, Kentucky",59797
"Magoffin County, Kentucky",31927
"Marion County, Kentucky",49627
"Marshall County, Kentucky",64597
"Martin County, Kentucky",45265
"Mason County, Kentucky",48460
"Meade County, Kentucky",68518
"Menifee County, Kentucky",43797
"Mercer County, Kentucky",60728
"Metcalfe County, Kentucky",46932
"Monroe County, Kentucky",47252
"Montgomery County, Kentucky",53436
"Morgan County, Kentucky",46018
"Muhlenberg County, Kentucky",50935
"Nelson County, Kentucky",66212
"Nicholas County, Kentucky",57539
"Ohio County, Kentucky",52474
"Oldham County, Kentucky",117334
"Owen County, Kentucky",56485
"Owsley County, Kentucky",32844
"Pendleton County, Kentucky",58723
"Perry County, Kentucky",45330
"Pike County, Kentucky",41271
"Powell County, Kentucky",38415
"Pulaski County, Kentucky",48768
"Robertson County, Kentucky",53798
"Rockcastle County, Kentucky",45693
"Rowan County, Kentucky",50038
"Russell County, Kentucky",48220
"Scott County, Kentucky",80782
"Shelby County, Kentucky",81012
"Simpson County, Kentucky",55907
"Spencer County, Kentucky",101118
"Taylor County, Kentucky",63211
"Todd County, Kentucky",57891
"Trigg County, Kentucky",55864
"Trimble County, Kentucky",66492
"Union County, Kentucky",58260
"Warren County, Kentucky",63074
"Washington County, Kentucky",65456
"Wayne County, Kentucky",41583
"Webster County, Kentucky",55451
"Whitley County, Kentucky",44332
"Wolfe County, Kentucky",28666
"Woodford County, Kentucky",78295
"Acadia Parish, Louisiana",44977
"Allen Parish, Louisiana",52755
"Ascension Parish, Louisiana",93800
"Assumption Parish, Louisiana",47023
"Avoyelles Parish, Louisiana",38696
"Beauregard Parish, Louisiana",68525
"Bienville Parish, Louisiana",34268
"Bossier Parish, Louisiana",64598
"Caddo Parish, Louisiana",47572
"Calcasieu Parish, Louisiana",64370
"Caldwell Parish, Louisiana",45707
"Cameron Parish, Louisiana",69847
"Catahoula Parish, Louisiana",48259
"Claiborne Parish, Louisiana",32034
"Concordia Parish, Louisiana",38929
"De Soto Parish, Louisiana",49807
"East Baton Rouge Parish, Louisiana",62083
"East Carroll Parish, Louisiana",30856
"East Feliciana Parish, Louisiana",64709
"Evangeline Parish, Louisiana",34526
"Franklin Parish, Louisiana",41129
"Grant Parish, Louisiana",57362
"Iberia Parish, Louisiana",55190
"Iberville Parish, Louisiana",59410
"Jackson Parish, Louisiana",40406
"Jefferson Parish, Louisiana",63257
"Jefferson Davis Parish, Louisiana",52470
"Lafayette Parish, Louisiana",66617
"Lafourche Parish, Louisiana",61381
"LaSalle Parish, Louisiana",59926
"Lincoln Parish, Louisiana",37001
"Livingston Parish, Louisiana",77978
"Madison Parish, Louisiana",34508
"Morehouse Parish, Louisiana",37875
"Natchitoches Parish, Louisiana",41310
"Orleans Parish, Louisiana",51116
"Ouachita Parish, Louisiana",49261
"Plaquemines Parish, Louisiana",77996
"Pointe Coupee Parish, Louisiana",53045
"Rapides Parish, Louisiana",55407
"Red River Parish, Louisiana",43821
"Richland Parish, Louisiana",48125
"Sabine Parish, Louisiana",40777
"St. Bernard Parish, Louisiana",55857
"St. Charles Parish, Louisiana",79191
"St. Helena Parish, Louisiana",46402
"St. James Parish, Louisiana",62946
"St. John the Baptist Parish, Louisiana",65114
"St. Landry Parish, Louisiana",44478
"St. Martin Parish, Louisiana",50806
"St. Mary Parish, Louisiana",47322
"St. Tammany Parish, Louisiana",76914
"Tangipahoa Parish, Louisiana",55274
"Tensas Parish, Louisiana",35653
"Terrebonne Parish, Louisiana",63088
"Union Parish, Louisiana",47068
"Vermilion Parish, Louisiana",56194
"Vernon Parish, Louisiana",56547
"Washington Parish, Louisiana",41803
"Webster Parish, Louisiana",34263
"West Baton Rouge Parish, Louisiana",80510
"West Carroll Parish, Louisiana",45035
"West Feliciana Parish, Louisiana",71985
"Winn Parish, Louisiana",44922
"Androscoggin County, Maine",64500
"Aroostook County, Maine",50843
"Cumberland County, Maine",87710
"Franklin County, Maine",56890
"Hancock County, Maine",64149
"Kennebec County, Maine",62118
"Knox County, Maine",68904
"Lincoln County, Maine",69638
"Oxford County, Maine",54780
"Penobscot County, Maine",59438
"Piscataquis County, Maine",51805
"Sagadahoc County, Maine",77591
"Somerset County, Maine",53527
"Waldo County, Maine",62694
"Washington County, Maine",51669
"York County, Maine",79743
"Allegany County, Maryland",55248
"Anne Arundel County, Maryland",116009
"Baltimore County, Maryland",88157
"Calvert County, Maryland",128078
"Caroline County, Maryland",65326
"Carroll County, Maryland",111672
"Cecil County, Maryland",86869
"Charles County, Maryland",116882
"Dorchester County, Maryland",57490
"Frederick County, Maryland",115724
"Garrett County, Maryland",64447
"Harford County, Maryland",106417
"Howard County, Maryland",140971
"Kent County, Maryland",71635
"Montgomery County, Maryland",125583
"Prince George's County, Maryland",97935
"Queen Anne's County, Maryland",108332
"St. Mary's County, Maryland",113668
"Somerset County, Maryland",52149
"Talbot County, Maryland",81667
"Washington County, Maryland",73017
"Wicomico County, Maryland",69421
"Worcester County, Maryland",76689
"Baltimore city, Maryland",58349
"Barnstable County, Massachusetts",90447
"Berkshire County, Massachusetts",69744
"Bristol County, Massachusetts",80628
"Dukes County, Massachusetts",93225
"Essex County, Massachusetts",94378
"Franklin County, Massachusetts",70383
"Hampden County, Massachusetts",66619
"Hampshire County, Massachusetts",84025
"Middlesex County, Massachusetts",121304
"Nantucket County, Massachusetts",135590
"Norfolk County, Massachusetts",120621
"Plymouth County, Massachusetts",105387
"Suffolk County, Massachusetts",87669
"Worcester County, Massachusetts",88524
"Alcona County, Michigan",50295
"Alger County, Michigan",55528
"Allegan County, Michigan",75543
"Alpena County, Michigan",49133
"Antrim County, Michigan",68850
"Arenac County, Michigan",53487
"Baraga County, Michigan",51911
"Barry County, Michigan",75182
"Bay County, Michigan",57887
"Benzie County, Michigan",71327
"Berrien County, Michigan",60379
"Branch County, Michigan",60600
"Calhoun County, Michigan",58191
"Cass County, Michigan",65183
"Charlevoix County, Michigan",69764
"Cheboygan County, Michigan",59557
"Chippewa County, Michigan",58408
"Clare County, Michigan",47816
"Clinton County, Michigan",82594
"Crawford County, Michigan",57998
"Delta County, Michigan",53852
"Dickinson County, Michigan",59651
"Eaton County, Michigan",77158
"Emmet County, Michigan",69690
"Genesee County, Michigan",58594
"Gladwin County, Michigan",53717
"Gogebic County, Michigan",47913
"Grand Traverse County, Michigan",75553
"Gratiot County, Michigan",57934
"Hillsdale County, Michigan",59425
"Houghton County, Michigan",52736
"Huron County, Michigan",54475
"Ingham County, Michigan",62548
"Ionia County, Michigan",71720
"Iosco County, Michigan",46224
"Iron County, Michigan",52241
"Isabella County, Michigan",52638
"Jackson County, Michigan",62581
"Kalamazoo County, Michigan",67905
"Kalkaska County, Michigan",56380
"Kent County, Michigan",76247
"Keweenaw County, Michigan",55560
"Lake County, Michigan",45946
"Lapeer County, Michigan",75402
"Leelanau County, Michigan",82345
"Lenawee County, Michigan",65484
"Livingston County, Michigan",96135
"Luce County, Michigan",51015
"Mackinac County, Michigan",60620
"Macomb County, Michigan",73876
"Manistee County, Michigan",59467
"Marquette County, Michigan",63115
"Mason County, Michigan",60744
"Mecosta County, Michigan",54132
"Menominee County, Michigan",54074
"Midland County, Michigan",73643
"Missaukee County, Michigan",57667
"Monroe County, Michigan",72573
"Montcalm County, Michigan",61250
"Montmorency County, Michigan",46345
"Muskegon County, Michigan",61347
"Newaygo County, Michigan",59065
"Oakland County, Michigan",92620
"Oceana County, Michigan",60691
"Ogemaw County, Michigan",50377
"Ontonagon County, Michigan",48316
"Osceola County, Michigan",54875
"Oscoda County, Michigan",48692
"Otsego County, Michigan",62865
"Ottawa County, Michigan",83932
"Presque Isle County, Michigan",55986
"Roscommon County, Michigan",49898
"Saginaw County, Michigan",56579
"St. Clair County, Michigan",66887
"St. Joseph County, Michigan",62281
"Sanilac County, Michigan",55740
"Schoolcraft County, Michigan",55071
"Shiawassee County, Michigan",62498
"Tuscola County, Michigan",59815
"Van Buren County, Michigan",65531
"Washtenaw County, Michigan",84245
"Wayne County, Michigan",57223
"Wexford County, Michigan",58652
"Aitkin County, Minnesota",56406
"Anoka County, Minnesota",95782
"Becker County, Minnesota",68683
"Beltrami County, Minnesota",62173
"Benton County, Minnesota",70346
"Big Stone County, Minnesota",63024
"Blue Earth County, Minnesota",70906
"Brown County, Minnesota",67038
"Carlton County, Minnesota",74660
"Carver County, Minnesota",116308
"Cass County, Minnesota",61970
"Chippewa County, Minnesota",62112
"Chisago County, Minnesota",97446
"Clay County, Minnesota",75006
"Clearwater County, Minnesota",62723
"Cook County, Minnesota",71937
"Cottonwood County, Minnesota",63586
"Crow Wing County, Minnesota",65975
"Dakota County, Minnesota",101360
"Dodge County, Minnesota",92890
"Douglas County, Minnesota",72472
"Faribault County, Minnesota",64000
"Fillmore County, Minnesota",73234
"Freeborn County, Minnesota",65679
"Goodhue County, Minnesota",78338
"Grant County, Minnesota",67600
"Hennepin County, Minnesota",92595
"Houston County, Minnesota",71580
"Hubbard County, Minnesota",67197
"Isanti County, Minnesota",84063
"Itasca County, Minnesota",63962
"Jackson County, Minnesota",68368
"Kanabec County, Minnesota",68995
"Kandiyohi County, Minnesota",73285
"Kittson County, Minnesota",66000
"Koochiching County, Minnesota",59779
"Lac qui Parle County, Minnesota",66967
"Lake County, Minnesota",73860
"Lake of the Woods County, Minnesota",61667
"Le Sueur County, Minnesota",87180
"Lincoln County, Minnesota",64750
"Lyon County, Minnesota",68919
"McLeod County, Minnesota",73296
"Mahnomen County, Minnesota",52739
"Marshall County, Minnesota",69396
"Martin County, Minnesota",61674
"Meeker County, Minnesota",75926
"Mille Lacs County, Minnesota",68088
"Morrison County, Minnesota",66264
"Mower County, Minnesota",66972
"Murray County, Minnesota",71500
"Nicollet County, Minnesota",79113
"Nobles County, Minnesota",62973
"Norman County, Minnesota",65278
"Olmsted County, Minnesota",90420
"Otter Tail County, Minnesota",67990
"Pennington County, Minnesota",71504
"Pine County, Minnesota",65059
"Pipestone County, Minnesota",68341
"Polk County, Minnesota",69540
"Pope County, Minnesota",71212
"Ramsey County, Minnesota",78108
"Red Lake County, Minnesota",73889
"Redwood County, Minnesota",65617
"Renville County, Minnesota",66313
"Rice County, Minnesota",78214
"Rock County, Minnesota",75060
"Roseau County, Minnesota",70122
"St. Louis County, Minnesota",66491
"Scott County, Minnesota",118268
"Sherburne County, Minnesota",99431
"Sibley County, Minnesota",74781
"Stearns County, Minnesota",73105
"Steele County, Minnesota",79722
"Stevens County, Minnesota",69737
"Swift County, Minnesota",58362
"Todd County, Minnesota",63216
"Traverse County, Minnesota",63456
"Wabasha County, Minnesota",75063
"Wadena County, Minnesota",54747
"Waseca County, Minnesota",71856
"Washington County, Minnesota",110828
"Watonwan County, Minnesota",65197
"Wilkin County, Minnesota",67114
"Winona County, Minnesota",66162
"Wright County, Minnesota",102980
"Yellow Medicine County, Minnesota",70605
"Adams County, Mississippi",37271
"Alcorn County, Mississippi",47716
"Amite County, Mississippi",34866
"Attala County, Mississippi",42680
"Benton County, Mississippi",38750
"Bolivar County, Mississippi",37845
"Calhoun County, Mississippi",44505
"Carroll County, Mississippi",42285
"Chickasaw County, Mississippi",40224
"Choctaw County, Mississippi",41887
"Claiborne County, Mississippi",34282
"Clarke County, Mississippi",46329
"Clay County, Mississippi",37412
"Coahoma County, Mississippi",36075
"Copiah County, Mississippi",46889
"Covington County, Mississippi",40164
"DeSoto County, Mississippi",79666
"Forrest County, Mississippi",49340
"Franklin County, Mississippi",43942
"George County, Mississippi",51349
"Greene County, Mississippi",50000
"Grenada County, Mississippi",45745
"Hancock County, Mississippi",63623
"Harrison County, Mississippi",55211
"Hinds County, Mississippi",48596
"Holmes County, Mississippi",28818
"Humphreys County, Mississippi",31907
"Issaquena County, Mississippi",17900
"Itawamba County, Mississippi",57252
"Jackson County, Mississippi",60045
"Jasper County, Mississippi",43914
"Jefferson County, Mississippi",31544
"Jefferson Davis County, Mississippi",36473
"Jones County, Mississippi",49451
"Kemper County, Mississippi",42947
"Lafayette County, Mississippi",59748
"Lamar County, Mississippi",67972
"Lauderdale County, Mississippi",45649
"Lawrence County, Mississippi",41096
"Leake County, Mississippi",46669
"Lee County, Mississippi",64479
"Leflore County, Mississippi",33115
"Lincoln County, Mississippi",47069
"Lowndes County, Mississippi",53687
"Madison County, Mississippi",79105
"Marion County, Mississippi",38399
"Marshall County, Mississippi",51431
"Monroe County, Mississippi",51190
"Montgomery County, Mississippi",36845
"Neshoba County, Mississippi",47400
"Newton County, Mississippi",49160
"Noxubee County, Mississippi",42298
"Oktibbeha County, Mississippi",42953
"Panola County, Mississippi",47894
"Pearl River County, Mississippi",54220
"Perry County, Mississippi",48333
"Pike County, Mississippi",40131
"Pontotoc County, Mississippi",54414
"Prentiss County, Mississippi",51578
"Quitman County, Mississippi",31192
"Rankin County, Mississippi",76460
"Scott County, Mississippi",44968
"Sharkey County, Mississippi",41000
"Simpson County, Mississippi",50867
"Smith County, Mississippi",51983
"Stone County, Mississippi",55894
"Sunflower County, Mississippi",37403
"Tallahatchie County, Mississippi",35428
"Tate County, Mississippi",61286
"Tippah County, Mississippi",47968
"Tishomingo County, Mississippi",45545
"Tunica County, Mississippi",41676
"Union County, Mississippi",55970
"Walthall County, Mississippi",37145
"Warren County, Mississippi",54117
"Washington County, Mississippi",38394
"Wayne County, Mississippi",34875
"Webster County, Mississippi",55657
"Wilkinson County, Mississippi",34928
"Winston County, Mississippi",45516
"Yalobusha County, Mississippi",47006
"Yazoo County, Mississippi",41867
"Adair County, Missouri",51020
"Andrew County, Missouri",68774
"Atchison County, Missouri",58521
"Audrain County, Missouri",51745
"Barry County, Missouri",55592
"Barton County, Missouri",48105
"Bates County, Missouri",54122
"Benton County, Missouri",50229
"Bollinger County, Missouri",52306
"Boone County, Missouri",66564
"Buchanan County, Missouri",58303
"Butler County, Missouri",47245
"Caldwell County, Missouri",58269
"Callaway County, Missouri",70599
"Camden County, Missouri",59834
"Cape Girardeau County, Missouri",65070
"Carroll County, Missouri",59101
"Carter County, Missouri",45737
"Cass County, Missouri",82473
"Cedar County, Missouri",43589
"Chariton County, Missouri",61910
"Christian County, Missouri",75787
"Clark County, Missouri",53362
"Clay County, Missouri",82264
"Clinton County, Missouri",66494
"Cole County, Missouri",70667
"Cooper County, Missouri",62239
"Crawford County, Missouri",52367
"Dade County, Missouri",46806
"Dallas County, Missouri",46547
"Daviess County, Missouri",59706
"DeKalb County, Missouri",67910
"Dent County, Missouri",51410
"Douglas County, Missouri",47848
"Dunklin County, Missouri",44868
"Franklin County, Missouri",70111
"Gasconade County, Missouri",62638
"Gentry County, Missouri",53799
"Greene County, Missouri",54968
"Grundy County, Missouri",51045
"Harrison County, Missouri",51809
"Henry County, Missouri",54903
"Hickory County, Missouri",33302
"Holt County, Missouri",55153
"Howard County, Missouri",59023
"Howell County, Missouri",46401
"Iron County, Missouri",53401
"Jackson County, Missouri",65169
"Jasper County, Missouri",54963
"Jefferson County, Missouri",77217
"Johnson County, Missouri",62503
"Knox County, Missouri",49167
"Laclede County, Missouri",49202
"Lafayette County, Missouri",78397
"Lawrence County, Missouri",52225
"Lewis County, Missouri",49779
"Lincoln County, Missouri",82543
"Linn County, Missouri",58435
"Livingston County, Missouri",58772
"McDonald County, Missouri",46494
"Macon County, Missouri",54113
"Madison County, Missouri",54042
"Maries County, Missouri",56491
"Marion County, Missouri",62492
"Mercer County, Missouri",55592
"Miller County, Missouri",53490
"Mississippi County, Missouri",40833
"Moniteau County, Missouri",66792
"Monroe County, Missouri",50245
"Montgomery County, Missouri",58660
"Morgan County, Missouri",48841
"New Madrid County, Missouri",44092
"Newton County, Missouri",60313
"Nodaway County, Missouri",53917
"Oregon County, Missouri",41365
"Osage County, Missouri",70313
"Ozark County, Missouri",39125
"Pemiscot County, Missouri",37426
"Perry County, Missouri",61486
"Pettis County, Missouri",57581
"Phelps County, Missouri",53242
"Pike County, Missouri",53363
"Platte County, Missouri",92543
"Polk County, Missouri",54487
"Pulaski County, Missouri",62541
"Putnam County, Missouri",50950
"Ralls County, Missouri",62615
"Randolph County, Missouri",51480
"Ray County, Missouri",69779
"Reynolds County, Missouri",43856
"Ripley County, Missouri",42541
"St. Charles County, Missouri",99596
"St. Clair County, Missouri",43483
"Ste. Genevieve County, Missouri",61215
"St. Francois County, Missouri",53083
"St. Louis County, Missouri",78067
"Saline County, Missouri",55396
"Schuyler County, Missouri",53728
"Scotland County, Missouri",58656
"Scott County, Missouri",54621
"Shannon County, Missouri",46767
"Shelby County, Missouri",50387
"Stoddard County, Missouri",51703
"Stone County, Missouri",58392
"Sullivan County, Missouri",53438
"Taney County, Missouri",54467
"Texas County, Missouri",42870
"Vernon County, Missouri",53318
"Warren County, Missouri",75531
"Washington County, Missouri",49364
"Wayne County, Missouri",42758
"Webster County, Missouri",65103
"Worth County, Missouri",43536
"Wright County, Missouri",43573
"St. Louis city, Missouri",52941
"Beaverhead County, Montana",55867
"Big Horn County, Montana",52463
"Blaine County, Montana",58507
"Broadwater County, Montana",61679
"Carbon County, Montana",66780
"Carter County, Montana",46486
"Cascade County, Montana",61351
"Chouteau County, Montana",51791
"Custer County, Montana",61114
"Daniels County, Montana",47378
"Dawson County, Montana",68168
"Deer Lodge County, Montana",46436
"Fallon County, Montana",79750
"Fergus County, Montana",58321
"Flathead County, Montana",68025
"Gallatin County, Montana",83434
"Garfield County, Montana",61786
"Glacier County, Montana",41078
"Golden Valley County, Montana",54792
"Granite County, Montana",53917
"Hill County, Montana",58427
"Jefferson County, Montana",73875
"Judith Basin County, Montana",58750
"Lake County, Montana",58009
"Lewis and Clark County, Montana",71967
"Liberty County, Montana",48047
"Lincoln County, Montana",44593
"McCone County, Montana",79022
"Madison County, Montana",61226
"Meagher County, Montana",55753
"Mineral County, Montana",56098
"Missoula County, Montana",66840
"Musselshell County, Montana",54875
"Park County, Montana",67602
"Petroleum County, Montana",57981
"Phillips County, Montana",61250
"Pondera County, Montana",59861
"Powder River County, Montana",60313
"Powell County, Montana",60994
"Prairie County, Montana",44107
"Ravalli County, Montana",67424
"Richland County, Montana",67515
"Roosevelt County, Montana",51038
"Rosebud County, Montana",57656
"Sanders County, Montana",47110
"Sheridan County, Montana",67457
"Silver Bow County, Montana",56297
"Stillwater County, Montana",78380
"Sweet Grass County, Montana",64872
"Teton County, Montana",65224
"Toole County, Montana",54040
"Treasure County, Montana",70096
"Valley County, Montana",59725
"Wheatland County, Montana",48272
"Wibaux County, Montana",58750
"Yellowstone County, Montana",72300
"Adams County, Nebraska",61502
"Antelope County, Nebraska",61924
"Arthur County, Nebraska",66667
"Banner County, Nebraska",62375
"Blaine County, Nebraska",52083
"Boone County, Nebraska",66800
"Box Butte County, Nebraska",67893
"Boyd County, Nebraska",57120
"Brown County, Nebraska",44267
"Buffalo County, Nebraska",70093
"Burt County, Nebraska",54950
"Butler County, Nebraska",75690
"Cass County, Nebraska",87673
"Cedar County, Nebraska",72035
"Chase County, Nebraska",57313
"Cherry County, Nebraska",62373
"Cheyenne County, Nebraska",54038
"Clay County, Nebraska",73933
"Colfax County, Nebraska",71205
"Cuming County, Nebraska",68917
"Custer County, Nebraska",62288
"Dakota County, Nebraska",66112
"Dawes County, Nebraska",53760
"Dawson County, Nebraska",67462
"Deuel County, Nebraska",58875
"Dixon County, Nebraska",60568
"Dodge County, Nebraska",66793
"Douglas County, Nebraska",76083
"Dundy County, Nebraska",58977
"Fillmore County, Nebraska",72335
"Franklin County, Nebraska",55625
"Frontier County, Nebraska",62928
"Furnas County, Nebraska",58895
"Gage County, Nebraska",60035
"Garden County, Nebraska",47139
"Garfield County, Nebraska",64957
"Gosper County, Nebraska",76583
"Grant County, Nebraska",65139
"Greeley County, Nebraska",52813
"Hall County, Nebraska",63553
"Hamilton County, Nebraska",73254
"Harlan County, Nebraska",64583
"Hayes County, Nebraska",59405
"Hitchcock County, Nebraska",49456
"Holt County, Nebraska",66325
"Hooker County, Nebraska",43333
"Howard County, Nebraska",70766
"Jefferson County, Nebraska",54494
"Johnson County, Nebraska",64352
"Kearney County, Nebraska",74276
"Keith County, Nebraska",59511
"Keya Paha County, Nebraska",63977
"Kimball County, Nebraska",53151
"Knox County, Nebraska",61250
"Lancaster County, Nebraska",70387
"Lincoln County, Nebraska",63019
"Logan County, Nebraska",69250
"Loup County, Nebraska",50000
"McPherson County, Nebraska",58250
"Madison County, Nebraska",61139
"Merrick County, Nebraska",57873
"Morrill County, Nebraska",57325
"Nance County, Nebraska",60054
"Nemaha County, Nebraska",57196
"Nuckolls County, Nebraska",66000
"Otoe County, Nebraska",73031
"Pawnee County, Nebraska",55833
"Perkins County, Nebraska",61786
"Phelps County, Nebraska",65114
"Pierce County, Nebraska",65603
"Platte County, Nebraska",69943
"Polk County, Nebraska",67695
"Red Willow County, Nebraska",58344
"Richardson County, Nebraska",50321
"Rock County, Nebraska",57566
"Saline County, Nebraska",71104
"Sarpy County, Nebraska",95911
"Saunders County, Nebraska",84474
"Scotts Bluff County, Nebraska",60137
"Seward County, Nebraska",79677
"Sheridan County, Nebraska",53609
"Sherman County, Nebraska",60194
"Sioux County, Nebraska",50833
"Stanton County, Nebraska",76035
"Thayer County, Nebraska",60305
"Thomas County, Nebraska",70069
"Thurston County, Nebraska",63459
"Valley County, Nebraska",62321
"Washington County, Nebraska",89671
"Wayne County, Nebraska",64951
"Webster County, Nebraska",62571
"Wheeler County, Nebraska",59167
"York County, Nebraska",72914
"Churchill County, Nevada",69922
"Clark County, Nevada",69911
"Douglas County, Nevada",84262
"Elko County, Nevada",87755
"Esmeralda County, Nevada",40694
"Eureka County, Nevada",73929
"Humboldt County, Nevada",75574
"Lander County, Nevada",92388
"Lincoln County, Nevada",67412
"Lyon County, Nevada",70026
"Mineral County, Nevada",46625
"Nye County, Nevada",53602
"Pershing County, Nevada",66304
"Storey County, Nevada",86932
"Washoe County, Nevada",81531
"White Pine County, Nevada",71297
"Carson City, Nevada",67465
"Belknap County, New Hampshire",80719
"Carroll County, New Hampshire",77049
"Cheshire County, New Hampshire",76551
"Coos County, New Hampshire",55247
"Grafton County, New Hampshire",79949
"Hillsborough County, New Hampshire",95112
"Merrimack County, New Hampshire",88806
"Rockingham County, New Hampshire",110225
"Strafford County, New Hampshire",83212
"Sullivan County, New Hampshire",70788
Atlantic County,73113
Bergen County,118714
Burlington County,102615
Camden County,82005
Cape May County,83870
Cumberland County,62310
Essex County,73785
Gloucester County,99668
Hudson County,86854
Hunterdon County,133534
Mercer County,92697
Middlesex County,105206
Monmouth County,118527
Morris County,130808
Ocean County,82379
Passaic County,84465
Salem County,73378
Somerset County,131948
Sussex County,111094
Union County,95000
Warren County,92620
"Bernalillo County, New Mexico",62220
"Catron County, New Mexico",44777
"Chaves County, New Mexico",49673
"Cibola County, New Mexico",49866
"Colfax County, New Mexico",46286
"Curry County, New Mexico",55427
"De Baca County, New Mexico",34702
"Doña Ana County, New Mexico",51232
"Eddy County, New Mexico",77458
"Grant County, New Mexico",44895
"Guadalupe County, New Mexico",38713
"Harding County, New Mexico",39489
"Hidalgo County, New Mexico",53651
"Lea County, New Mexico",65855
"Lincoln County, New Mexico",47919
"Los Alamos County, New Mexico",135801
"Luna County, New Mexico",38241
"McKinley County, New Mexico",44029
"Mora County, New Mexico",40231
